interaction_id,timestamp,department,user_role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact
INT-100013,2025-04-09 10:10:31.851944,Marketing,Analyst,Which campaign had highest ROI?,Marketing,Profit Margin,Predictive,0.94,795,3.0,Low
INT-100014,2025-08-04 16:33:31.851946,HR,Executive,Which campaign had highest ROI?,Customer,Churn Rate,Trend Analysis,0.73,2096,3.0,Low
INT-100015,2025-11-05 04:36:31.851948,Marketing,Executive,Forecast next quarter revenue,Sales,Conversion Rate,Trend Analysis,0.84,1244,5.0,nan
INT-100016,2025-11-04 02:33:31.851950,HR,Manager,Show monthly revenue trend,Marketing,Conversion Rate,Trend Analysis,0.71,2493,3.0,High
INT-100017,2025-03-29 18:17:31.851952,Operations,Intern,Show monthly revenue trend,Sales,Conversion Rate,Predictive,0.96,2479,4.0,nan
INT-100018,2025-04-07 16:27:31.851954,Sales,Manager,Forecast next quarter revenue,Customer,Churn Rate,Trend Analysis,0.9,2023,4.0,Low
INT-100019,2025-11-27 10:50:31.851956,HR,Manager,What is customer churn rate?,Sales,Conversion Rate,Trend Analysis,0.69,2211,5.0,Low
INT-100020,2025-03-13 19:18:31.851957,Marketing,Manager,Which campaign had highest ROI?,Sales,Churn Rate,Predictive,0.97,2199,,Medium
INT-100021,2025-10-24 13:59:31.851959,Operations,Executive,Which campaign had highest ROI?,Sales,Conversion Rate,Descriptive,0.74,610,5.0,Medium
INT-100022,2025-10-15 09:19:31.851961,HR,Manager,Compare sales performance by region,Marketing,Revenue,Descriptive,0.85,2492,4.0,Low
INT-100023,2025-06-07 13:30:31.851963,Sales,Manager,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.89,586,5.0,High
INT-100024,2025-11-06 23:25:31.851965,Sales,Intern,Compare sales performance by region,Finance,ROI,Trend Analysis,0.61,1948,,nan
INT-100025,2025-10-10 08:15:31.851967,Finance,Intern,Compare sales performance by region,Sales,Conversion Rate,Descriptive,0.97,1221,,Low
INT-100026,2026-01-26 23:27:31.851969,Finance,Manager,Show monthly revenue trend,Sales,Conversion Rate,Predictive,0.73,2269,5.0,Low
INT-100027,2025-11-23 17:03:31.851971,Marketing,Intern,Which campaign had highest ROI?,Sales,Churn Rate,Trend Analysis,0.67,218,2.0,Low
INT-100028,2025-09-11 17:21:31.851974,HR,Intern,Compare sales performance by region,Revenue,Churn Rate,Trend Analysis,0.93,475,4.0,Medium
INT-100029,2025-06-08 11:27:31.851976,HR,Manager,Show monthly revenue trend,Customer,Conversion Rate,Trend Analysis,0.87,858,1.0,Low
INT-100030,2025-03-22 22:12:31.851977,Finance,Executive,Forecast next quarter revenue,Marketing,ROI,Descriptive,0.63,751,3.0,Medium
INT-100031,2026-01-31 13:40:31.851979,HR,Manager,Compare sales performance by region,Revenue,Conversion Rate,Descriptive,0.65,878,2.0,Medium
INT-100032,2026-01-03 02:17:31.851984,HR,Intern,Which campaign had highest ROI?,Sales,Churn Rate,Descriptive,0.88,802,,High
INT-100033,2025-06-12 06:45:31.851987,Sales,Executive,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.63,564,3.0,Low
INT-100034,2025-11-01 12:37:31.851989,Finance,Analyst,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.96,2173,4.0,Medium
INT-100035,2025-04-02 20:57:31.851990,Operations,Executive,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.89,994,4.0,High
INT-100036,2025-03-10 03:01:31.851992,Finance,Intern,Which campaign had highest ROI?,Customer,Profit Margin,Predictive,0.73,1558,2.0,Medium
INT-100037,2025-08-10 07:29:31.851994,Operations,Executive,Show monthly revenue trend,Finance,Churn Rate,Trend Analysis,0.74,1974,4.0,nan
INT-100038,2025-12-14 05:56:31.851996,Sales,Manager,Which campaign had highest ROI?,Marketing,ROI,Predictive,0.8,789,4.0,Medium
INT-100039,2025-12-17 10:06:31.851998,Marketing,Analyst,Show monthly revenue trend,Customer,Profit Margin,Trend Analysis,0.74,398,5.0,nan
INT-100040,2025-09-22 06:47:31.851999,HR,Analyst,What is customer churn rate?,Customer,Conversion Rate,Trend Analysis,0.91,2264,1.0,Low
INT-100041,2025-08-14 10:11:31.852001,Sales,Analyst,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,0.98,417,3.0,Medium
INT-100042,2026-01-13 02:18:31.852003,HR,Intern,Which campaign had highest ROI?,Customer,Profit Margin,Predictive,0.83,940,4.0,Medium
INT-100043,2026-01-30 02:05:31.852005,Marketing,Intern,Forecast next quarter revenue,Revenue,ROI,Predictive,0.77,849,1.0,nan
INT-100044,2025-05-07 05:39:31.852007,Marketing,Analyst,Compare sales performance by region,Revenue,Churn Rate,Predictive,0.69,2394,2.0,Low
INT-100045,2026-01-14 11:10:31.852009,Sales,Executive,Show monthly revenue trend,Sales,Profit Margin,Predictive,0.85,869,2.0,Low
INT-100046,2025-03-26 00:46:31.852011,Marketing,Analyst,Show monthly revenue trend,Customer,Profit Margin,Predictive,0.87,1637,4.0,Medium
INT-100047,2025-12-26 00:48:31.852013,Operations,Executive,Forecast next quarter revenue,Sales,Profit Margin,Predictive,0.87,864,3.0,Low
INT-100048,2025-03-03 05:55:31.852014,Marketing,Executive,Forecast next quarter revenue,Marketing,Revenue,Predictive,0.61,1055,4.0,Medium
INT-100049,2025-03-25 02:04:31.852016,HR,Intern,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.95,1094,,nan
INT-100050,2025-11-18 12:35:31.852018,HR,Executive,Compare sales performance by region,Marketing,Churn Rate,Predictive,0.73,2093,5.0,nan
INT-100051,2025-10-22 00:02:31.852020,HR,Analyst,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,0.89,1386,3.0,Low
INT-100052,2025-11-15 03:50:31.852022,HR,Intern,What is customer churn rate?,Revenue,Churn Rate,Trend Analysis,0.9,2042,3.0,Low
INT-100053,2026-01-21 06:05:31.852024,Operations,Manager,Compare sales performance by region,Marketing,Profit Margin,Trend Analysis,0.85,2348,2.0,Medium
INT-100054,2025-11-21 13:09:31.852026,Finance,Manager,Forecast next quarter revenue,Finance,Conversion Rate,Descriptive,0.75,526,1.0,Medium
INT-100055,2025-12-27 02:35:31.852027,Sales,Intern,Compare sales performance by region,Marketing,ROI,Descriptive,0.84,2257,3.0,Medium
INT-100056,2025-10-08 15:12:31.852029,HR,Analyst,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.62,382,3.0,High
INT-100057,2025-12-25 00:40:31.852031,Marketing,Manager,What is customer churn rate?,Finance,Conversion Rate,Predictive,0.9,654,4.0,Medium
INT-100058,2025-04-17 03:41:31.852043,HR,Manager,Which campaign had highest ROI?,Revenue,Conversion Rate,Descriptive,0.64,1869,,Low
INT-100059,2025-10-17 15:34:31.852045,Marketing,Executive,Show monthly revenue trend,Sales,Revenue,Descriptive,0.75,205,,High
INT-100060,2025-12-01 13:41:31.852047,Marketing,Executive,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.64,1556,1.0,Low
INT-100061,2025-11-23 08:13:31.852049,HR,Analyst,What is customer churn rate?,Finance,Profit Margin,Descriptive,0.93,410,4.0,Low
INT-100062,2026-02-02 07:33:31.852051,Operations,Intern,Which campaign had highest ROI?,Revenue,Conversion Rate,Predictive,0.81,250,1.0,High
INT-100063,2026-01-08 07:50:31.852052,Marketing,Analyst,Forecast next quarter revenue,Sales,Conversion Rate,Trend Analysis,0.87,1668,4.0,Medium
INT-100064,2025-09-03 06:50:31.852054,Marketing,Intern,Which campaign had highest ROI?,Customer,ROI,Trend Analysis,0.87,1209,2.0,Medium
INT-100065,2025-05-15 21:47:31.852057,HR,Manager,Compare sales performance by region,Customer,Revenue,Descriptive,0.93,576,,Medium
INT-100066,2025-07-27 17:45:31.852058,Marketing,Executive,Show monthly revenue trend,Sales,Conversion Rate,Trend Analysis,0.65,1274,5.0,Low
INT-100067,2025-09-24 08:28:31.852060,Marketing,Analyst,Compare sales performance by region,Marketing,Conversion Rate,Trend Analysis,0.86,353,1.0,Medium
INT-100068,2025-08-05 21:19:31.852062,HR,Analyst,Forecast next quarter revenue,Revenue,Profit Margin,Trend Analysis,0.82,781,5.0,Medium
INT-100069,2025-10-15 19:35:31.852064,HR,Intern,Compare sales performance by region,Sales,Profit Margin,Trend Analysis,0.61,987,4.0,Low
INT-100070,2025-07-14 21:23:31.852066,Sales,Intern,Which campaign had highest ROI?,Customer,ROI,Predictive,0.68,990,3.0,Medium
INT-100071,2025-09-09 17:18:31.852068,Operations,Analyst,Compare sales performance by region,Finance,ROI,Predictive,0.7,2381,4.0,High
INT-100072,2026-01-30 02:40:31.852069,Operations,Intern,Forecast next quarter revenue,Customer,ROI,Descriptive,0.63,2467,4.0,Medium
INT-100073,2025-09-07 04:19:31.852071,Marketing,Analyst,Forecast next quarter revenue,Finance,Profit Margin,Trend Analysis,0.74,362,5.0,High
INT-100074,2025-03-18 22:39:31.852073,Operations,Analyst,Forecast next quarter revenue,Revenue,Profit Margin,Trend Analysis,0.61,1170,5.0,High
INT-100075,2025-09-13 15:55:31.852075,Marketing,Analyst,Which campaign had highest ROI?,Finance,Revenue,Trend Analysis,0.82,847,4.0,High
INT-100076,2025-05-06 15:57:31.852077,Sales,Manager,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.68,1725,5.0,Medium
INT-100077,2025-05-03 20:50:31.852079,HR,Intern,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.71,1145,,Medium
INT-100078,2025-06-16 02:17:31.852081,HR,Executive,Forecast next quarter revenue,Marketing,Revenue,Trend Analysis,0.96,888,3.0,Medium
INT-100079,2025-07-01 10:14:31.852083,HR,Executive,Compare sales performance by region,Sales,Churn Rate,Predictive,0.8,2362,2.0,High
INT-100080,2025-07-13 16:58:31.852084,Operations,Intern,Compare sales performance by region,Revenue,Profit Margin,Descriptive,0.7,1722,4.0,Low
INT-100081,2025-09-21 03:10:31.852086,Sales,Analyst,Compare sales performance by region,Sales,Churn Rate,Predictive,0.83,1695,,High
INT-100082,2025-04-15 09:43:31.852088,Operations,Executive,Which campaign had highest ROI?,Marketing,Profit Margin,Trend Analysis,0.68,2247,2.0,Medium
INT-100083,2025-10-03 10:29:31.852090,Operations,Executive,Compare sales performance by region,Revenue,Revenue,Predictive,0.63,1372,3.0,Low
INT-100084,2025-08-16 06:22:31.852092,Sales,Intern,Which campaign had highest ROI?,Customer,ROI,Predictive,0.61,322,1.0,Medium
INT-100085,2025-03-03 01:16:31.852093,Sales,Executive,Which campaign had highest ROI?,Marketing,Revenue,Descriptive,0.97,1003,5.0,Low
INT-100086,2025-11-21 05:16:31.852095,Sales,Analyst,Forecast next quarter revenue,Revenue,Churn Rate,Descriptive,0.88,1292,,Low
INT-100087,2025-06-09 21:33:31.852097,Sales,Intern,Show monthly revenue trend,Finance,Profit Margin,Descriptive,0.91,262,3.0,High
INT-100088,2025-07-20 08:29:31.852099,HR,Analyst,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.98,932,3.0,Medium
INT-100089,2025-06-04 12:07:31.852101,Finance,Executive,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.96,1857,,Medium
INT-100090,2025-08-09 22:38:31.852102,Finance,Executive,Which campaign had highest ROI?,Sales,ROI,Predictive,0.89,1147,2.0,Low
INT-100091,2025-03-04 01:52:31.852105,Sales,Analyst,Which campaign had highest ROI?,Finance,Churn Rate,Descriptive,0.87,2464,5.0,Medium
INT-100092,2026-02-04 13:38:31.852107,Finance,Manager,Compare sales performance by region,Revenue,ROI,Descriptive,0.73,678,3.0,Low
INT-100093,2025-09-29 07:54:31.852109,Finance,Executive,Compare sales performance by region,Customer,Profit Margin,Trend Analysis,0.64,1337,4.0,High
INT-100094,2025-06-19 01:53:31.852111,Sales,Manager,Forecast next quarter revenue,Marketing,Profit Margin,Trend Analysis,0.82,2196,4.0,High
INT-100095,2025-12-04 18:05:31.852113,Finance,Executive,What is customer churn rate?,Revenue,ROI,Descriptive,0.82,1603,4.0,High
INT-100096,2025-10-11 08:16:31.852115,Operations,Manager,What is customer churn rate?,Finance,Revenue,Predictive,0.97,1176,,Low
INT-100097,2026-02-08 15:01:31.852117,Marketing,Manager,Compare sales performance by region,Revenue,Profit Margin,Descriptive,0.77,436,,Medium
INT-100098,2025-05-01 15:14:31.852119,Marketing,Manager,What is customer churn rate?,Sales,Revenue,Predictive,0.87,2154,5.0,High
INT-100099,2025-04-27 05:08:31.852121,Sales,Analyst,Compare sales performance by region,Revenue,Profit Margin,Predictive,0.82,797,2.0,Low
INT-100100,2025-12-11 10:29:31.852123,HR,Manager,Which campaign had highest ROI?,Customer,Profit Margin,Trend Analysis,0.67,1902,3.0,Low
INT-100101,2026-02-03 05:08:31.852124,Sales,Manager,Forecast next quarter revenue,Revenue,Conversion Rate,Descriptive,0.83,2376,3.0,High
INT-100102,2025-03-06 16:19:31.852126,HR,Manager,Show monthly revenue trend,Marketing,Churn Rate,Descriptive,0.81,364,,High
INT-100103,2025-05-04 04:09:31.852128,Marketing,Executive,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.79,769,4.0,Medium
INT-100104,2025-05-02 13:08:31.852130,Sales,Manager,Compare sales performance by region,Sales,Revenue,Descriptive,0.8,340,,Low
INT-100105,2025-03-30 14:32:31.852132,Operations,Executive,Compare sales performance by region,Revenue,Churn Rate,Trend Analysis,0.66,885,,Medium
INT-100106,2025-11-29 16:40:31.852134,Finance,Manager,Forecast next quarter revenue,Customer,Revenue,Trend Analysis,0.78,886,4.0,Medium
INT-100107,2025-09-29 15:03:31.852135,HR,Manager,Compare sales performance by region,Finance,Profit Margin,Descriptive,0.84,2238,5.0,Medium
INT-100108,2025-06-15 11:47:31.852137,Finance,Analyst,What is customer churn rate?,Revenue,Conversion Rate,Descriptive,0.79,1274,,Medium
INT-100109,2025-10-22 18:54:31.852139,Finance,Executive,What is customer churn rate?,Revenue,Conversion Rate,Trend Analysis,0.79,1726,5.0,Medium
INT-100110,2025-06-08 19:38:31.852141,Sales,Manager,Compare sales performance by region,Marketing,Profit Margin,Descriptive,0.63,1482,4.0,High
INT-100111,2025-09-20 08:36:31.852143,Finance,Executive,Compare sales performance by region,Customer,ROI,Predictive,0.67,2425,5.0,High
INT-100112,2025-09-11 02:28:31.852145,Operations,Executive,What is customer churn rate?,Finance,ROI,Descriptive,0.73,1121,1.0,Medium
INT-100113,2025-10-24 12:42:31.852146,Finance,Intern,Compare sales performance by region,Sales,Churn Rate,Predictive,0.76,1541,4.0,Low
INT-100114,2025-07-22 04:27:31.852148,Sales,Analyst,Compare sales performance by region,Revenue,Revenue,Descriptive,0.83,1889,2.0,Medium
INT-100115,2025-08-10 08:09:31.852150,Operations,Analyst,Forecast next quarter revenue,Finance,Conversion Rate,Descriptive,0.94,563,2.0,Low
INT-100116,2025-11-12 05:51:31.852152,Marketing,Analyst,Show monthly revenue trend,Sales,Churn Rate,Trend Analysis,0.66,1278,5.0,Medium
INT-100117,2025-07-28 13:18:31.852157,Finance,Intern,What is customer churn rate?,Customer,Profit Margin,Predictive,0.61,1267,4.0,nan
INT-100118,2025-09-01 06:20:31.852159,Sales,Intern,Forecast next quarter revenue,Customer,Conversion Rate,Trend Analysis,0.78,2230,2.0,Medium
INT-100119,2025-08-23 18:07:31.852161,Marketing,Analyst,Show monthly revenue trend,Finance,Revenue,Descriptive,0.77,2261,3.0,Low
INT-100120,2025-03-15 02:09:31.852163,Marketing,Intern,Compare sales performance by region,Sales,Revenue,Trend Analysis,0.82,1580,,Low
INT-100121,2025-05-19 11:15:31.852164,HR,Intern,Compare sales performance by region,Customer,ROI,Descriptive,0.92,1706,5.0,Low
INT-100122,2025-05-08 04:02:31.852166,Operations,Intern,Forecast next quarter revenue,Finance,Churn Rate,Descriptive,0.91,817,1.0,Low
INT-100123,2025-11-14 04:48:31.852168,Finance,Analyst,Compare sales performance by region,Customer,Profit Margin,Descriptive,0.64,558,,Medium
INT-100124,2025-07-01 10:29:31.852170,Sales,Analyst,Which campaign had highest ROI?,Customer,Conversion Rate,Predictive,0.96,1541,3.0,Medium
INT-100125,2025-03-27 11:10:31.852172,HR,Analyst,Forecast next quarter revenue,Customer,Revenue,Predictive,0.64,2182,4.0,Low
INT-100126,2025-06-15 19:20:31.852173,Operations,Intern,Show monthly revenue trend,Marketing,Conversion Rate,Predictive,0.85,1814,4.0,Low
INT-100127,2026-01-02 07:32:31.852175,HR,Analyst,Forecast next quarter revenue,Sales,Profit Margin,Trend Analysis,0.86,393,,Medium
INT-100128,2025-09-12 12:46:31.852177,Operations,Intern,What is customer churn rate?,Finance,Conversion Rate,Descriptive,0.87,562,5.0,Medium
INT-100129,2025-04-05 03:35:31.852180,Operations,Manager,Forecast next quarter revenue,Finance,Churn Rate,Trend Analysis,0.7,1319,3.0,High
INT-100130,2025-11-24 04:33:31.852181,Finance,Intern,Compare sales performance by region,Sales,ROI,Trend Analysis,0.73,1263,4.0,Low
INT-100131,2025-03-26 08:24:31.852183,Operations,Executive,Compare sales performance by region,Sales,Conversion Rate,Descriptive,0.81,306,3.0,High
INT-100132,2025-04-12 07:22:31.852186,HR,Analyst,Which campaign had highest ROI?,Sales,ROI,Trend Analysis,0.68,726,4.0,Medium
INT-100133,2025-06-11 06:22:31.852189,Operations,Analyst,Which campaign had highest ROI?,Sales,Profit Margin,Descriptive,0.61,2152,4.0,Low
INT-100134,2025-09-12 03:56:31.852192,Finance,Executive,Which campaign had highest ROI?,Revenue,ROI,Descriptive,0.82,983,3.0,Low
INT-100135,2025-03-24 19:05:31.852195,Finance,Intern,Show monthly revenue trend,Finance,Conversion Rate,Descriptive,0.78,1982,3.0,Medium
INT-100136,2025-04-13 08:05:31.852198,HR,Manager,Which campaign had highest ROI?,Revenue,Conversion Rate,Descriptive,0.86,1949,2.0,Medium
INT-100137,2025-12-20 04:24:31.852202,Marketing,Executive,Show monthly revenue trend,Customer,Revenue,Trend Analysis,0.66,1266,4.0,Low
INT-100138,2025-11-04 07:43:31.852205,Marketing,Executive,Which campaign had highest ROI?,Customer,Conversion Rate,Trend Analysis,0.93,2065,5.0,High
INT-100139,2025-07-23 05:07:31.852208,Operations,Intern,Show monthly revenue trend,Finance,ROI,Trend Analysis,0.66,1664,3.0,Low
INT-100140,2025-08-18 10:47:31.852211,Sales,Analyst,Forecast next quarter revenue,Customer,Revenue,Predictive,0.95,1205,,Medium
INT-100141,2025-12-09 15:46:31.852216,Operations,Intern,Forecast next quarter revenue,Sales,Conversion Rate,Trend Analysis,0.78,1834,1.0,Medium
INT-100142,2025-08-23 20:28:31.852218,HR,Executive,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.81,293,4.0,Medium
INT-100143,2025-11-16 03:09:31.852220,HR,Executive,Show monthly revenue trend,Sales,Profit Margin,Predictive,0.95,2243,4.0,High
INT-100144,2025-04-02 13:43:31.852222,HR,Analyst,What is customer churn rate?,Customer,Revenue,Descriptive,0.72,288,1.0,nan
INT-100145,2025-12-20 23:26:31.852223,HR,Analyst,Compare sales performance by region,Revenue,Profit Margin,Descriptive,0.67,2153,2.0,Low
INT-100146,2025-08-31 12:08:31.852225,HR,Analyst,Forecast next quarter revenue,Sales,Profit Margin,Descriptive,0.77,2241,,Medium
INT-100147,2025-11-15 08:06:31.852227,Finance,Intern,Show monthly revenue trend,Finance,Profit Margin,Predictive,0.7,2461,4.0,High
INT-100148,2025-11-29 13:34:31.852229,Marketing,Analyst,Which campaign had highest ROI?,Sales,Churn Rate,Trend Analysis,0.81,1645,3.0,Medium
INT-100149,2025-06-06 15:24:31.852231,HR,Executive,What is customer churn rate?,Customer,Profit Margin,Trend Analysis,0.71,725,3.0,Medium
INT-100150,2025-10-21 07:04:31.852233,Sales,Executive,Forecast next quarter revenue,Revenue,ROI,Trend Analysis,0.94,2439,5.0,nan
INT-100151,2025-05-11 14:05:31.852235,Sales,Manager,Compare sales performance by region,Finance,Conversion Rate,Trend Analysis,0.84,2030,3.0,Medium
INT-100152,2025-11-26 02:41:31.852237,Sales,Intern,Show monthly revenue trend,Revenue,Churn Rate,Predictive,0.6,754,5.0,Low
INT-100153,2025-10-21 00:29:31.852239,Sales,Manager,What is customer churn rate?,Finance,Profit Margin,Trend Analysis,0.91,880,3.0,High
INT-100154,2025-04-30 00:02:31.852240,Finance,Executive,Show monthly revenue trend,Revenue,Conversion Rate,Descriptive,0.73,1697,4.0,nan
INT-100155,2025-05-16 12:07:31.852242,Sales,Manager,Which campaign had highest ROI?,Customer,Revenue,Predictive,0.72,1831,2.0,High
INT-100156,2025-07-14 17:37:31.852244,HR,Executive,Compare sales performance by region,Finance,Revenue,Predictive,0.75,402,5.0,Medium
INT-100157,2025-11-11 15:05:31.852246,Operations,Manager,Show monthly revenue trend,Marketing,Conversion Rate,Descriptive,0.85,646,4.0,nan
INT-100158,2025-11-25 09:20:31.852248,Sales,Analyst,Forecast next quarter revenue,Revenue,ROI,Descriptive,0.77,1315,4.0,nan
INT-100159,2025-07-24 00:22:31.852250,Finance,Manager,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.85,977,1.0,nan
INT-100160,2025-07-13 21:33:31.852251,Finance,Analyst,Forecast next quarter revenue,Sales,Conversion Rate,Descriptive,0.66,2425,3.0,Medium
INT-100161,2025-03-23 09:08:31.852254,Sales,Analyst,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.98,1886,2.0,High
INT-100162,2025-03-01 16:35:31.852257,Operations,Intern,Compare sales performance by region,Marketing,Revenue,Predictive,0.88,1028,3.0,Medium
INT-100163,2026-01-25 01:07:31.852262,Sales,Analyst,Forecast next quarter revenue,Customer,Revenue,Predictive,0.7,758,5.0,Low
INT-100164,2025-05-13 17:04:31.852265,Finance,Analyst,Which campaign had highest ROI?,Sales,Profit Margin,Trend Analysis,0.88,2222,5.0,Medium
INT-100165,2025-11-11 10:28:31.852269,Marketing,Manager,Which campaign had highest ROI?,Marketing,Conversion Rate,Trend Analysis,0.82,302,2.0,High
INT-100166,2025-04-12 18:16:31.852272,HR,Executive,Show monthly revenue trend,Finance,Conversion Rate,Descriptive,0.64,1496,,High
INT-100167,2025-07-06 06:15:31.852275,Finance,Intern,Compare sales performance by region,Marketing,ROI,Trend Analysis,0.67,1757,,High
INT-100168,2025-06-25 14:48:31.852278,Sales,Analyst,What is customer churn rate?,Revenue,Revenue,Trend Analysis,0.62,315,4.0,Low
INT-100169,2025-12-17 14:35:31.852281,HR,Intern,Compare sales performance by region,Revenue,ROI,Predictive,0.92,1058,4.0,Medium
INT-100170,2025-09-07 19:40:31.852284,Sales,Manager,Which campaign had highest ROI?,Sales,Churn Rate,Predictive,0.82,303,,Medium
INT-100171,2025-11-23 17:11:31.852288,Sales,Analyst,Forecast next quarter revenue,Finance,Profit Margin,Descriptive,0.72,1531,4.0,High
INT-100172,2025-08-29 16:26:31.852291,Marketing,Manager,What is customer churn rate?,Finance,ROI,Predictive,0.65,1128,4.0,Low
INT-100173,2025-03-19 00:21:31.852295,HR,Intern,Show monthly revenue trend,Marketing,Revenue,Trend Analysis,0.79,1006,4.0,High
INT-100174,2025-03-19 10:33:31.852298,HR,Manager,What is customer churn rate?,Sales,Churn Rate,Descriptive,0.8,759,2.0,Medium
INT-100175,2025-09-14 05:43:31.852301,Marketing,Intern,Show monthly revenue trend,Finance,Conversion Rate,Descriptive,0.87,2274,5.0,nan
INT-100176,2025-11-15 18:13:31.852305,Finance,Manager,What is customer churn rate?,Revenue,Churn Rate,Predictive,0.98,726,4.0,Medium
INT-100177,2025-08-19 04:41:31.852312,Sales,Intern,Show monthly revenue trend,Marketing,ROI,Predictive,0.77,1152,4.0,Medium
INT-100178,2025-07-03 13:16:31.852314,Operations,Executive,Show monthly revenue trend,Customer,Revenue,Predictive,0.76,497,1.0,nan
INT-100179,2025-10-26 02:59:31.852316,Sales,Manager,What is customer churn rate?,Revenue,ROI,Descriptive,0.74,976,3.0,High
INT-100180,2025-08-29 04:29:31.852317,Sales,Manager,What is customer churn rate?,Sales,Conversion Rate,Predictive,0.92,560,3.0,Low
INT-100181,2025-03-11 02:19:31.852319,Finance,Executive,Show monthly revenue trend,Finance,Conversion Rate,Trend Analysis,0.66,703,3.0,Low
INT-100182,2025-08-02 13:41:31.852321,Sales,Executive,Which campaign had highest ROI?,Revenue,Revenue,Descriptive,0.73,2176,5.0,High
INT-100183,2025-11-21 04:15:31.852323,Marketing,Manager,What is customer churn rate?,Customer,Profit Margin,Predictive,0.88,2277,3.0,Medium
INT-100184,2025-06-25 14:06:31.852324,Marketing,Executive,Compare sales performance by region,Customer,Churn Rate,Trend Analysis,0.61,1662,2.0,High
INT-100185,2025-06-24 13:34:31.852326,HR,Analyst,Forecast next quarter revenue,Sales,Churn Rate,Trend Analysis,0.71,2373,4.0,Medium
INT-100186,2025-05-18 16:09:31.852328,Operations,Intern,Show monthly revenue trend,Revenue,Conversion Rate,Predictive,0.85,795,4.0,nan
INT-100187,2025-06-23 13:25:31.852330,Sales,Intern,Show monthly revenue trend,Marketing,ROI,Trend Analysis,0.67,1789,2.0,Medium
INT-100188,2025-06-13 22:32:31.852332,Sales,Intern,Forecast next quarter revenue,Revenue,ROI,Descriptive,0.72,1589,1.0,High
INT-100189,2025-08-26 12:12:31.852333,Finance,Analyst,Which campaign had highest ROI?,Customer,Profit Margin,Descriptive,0.79,2075,,Low
INT-100190,2025-11-26 17:25:31.852335,Marketing,Executive,Forecast next quarter revenue,Sales,ROI,Trend Analysis,0.76,462,1.0,Medium
INT-100191,2025-07-20 16:17:31.852337,Operations,Executive,What is customer churn rate?,Sales,Churn Rate,Descriptive,0.64,2063,5.0,Low
